date,home,away,pt_spread
1/11/25,Duke,Notre Dame,8
1/11/25,NC State,UNC,-2
1/14/25,Duke,Miami,35
1/15/25,Virginia Tech,NC State,3
1/15/25,UNC,California,26
1/18/25,Boston College,Duke,-25
1/18/25,UNC,Stanford,-1
1/18/25,NC State,California,-3
1/21/25,Wake Forest,UNC,1
1/25/25,Wake Forest,Duke,-7
1/25/25,NC State,SMU,-6
1/25/25,UNC,Boston College,6
1/27/25,Duke,NC State,10
1/28/25,Pittsburgh,UNC,8
2/1/25,NC State,Clemson,-10
2/1/25,Duke,UNC,17
2/5/25,Syracuse,Duke,-29
2/5/25,California,NC State,12
2/8/25,Clemson,Duke,6
2/8/25,UNC,Pittsburgh,1
2/8/25,Stanford,NC State,1
2/10/25,Clemson,UNC,20
2/12/25,NC State,Louisville,-25
2/12/25,Duke,California,21
2/15/25,Duke,Stanford,36
2/15/25,NC State,Boston College,8
2/15/25,Syracuse,UNC,-6
2/17/25,Virginia,Duke,-18
2/19/25,UNC,NC State,24
2/22/25,NC State,Wake Forest,
2/22/25,UNC,Virginia,
2/24/25,FSU,UNC,
2/25/25,Miami,Duke,
2/26/25,Syracuse,NC State,
3/1/25,UNC,Miami,
3/1/25,Georgia Tech,NC State,
3/1/25,Duke,FSU,
3/3/25,Duke,Wake Forest,
3/4/25,Virginia Tech,UNC,
3/5/25,NC State,Pittsburgh,
3/8/25,Miami,NC State,
3/8/25,UNC,Duke,